"","Pair","Ligand","Ligand.name","Receptor","Receptor.name"
"628","Col6a1_itgb1","Col6a1","collagen, type VI, alpha 1","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"629","Col6a2_itga1","Col6a2","collagen, type VI, alpha 2","Itga1","integrin, alpha 1"
"630","Col6a2_itga2","Col6a2","collagen, type VI, alpha 2","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
"631","Col6a2_itgb1","Col6a2","collagen, type VI, alpha 2","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"632","Col6a3_itga1","Col6a3","collagen, type VI, alpha 3","Itga1","integrin, alpha 1"
"633","Col6a3_itga2","Col6a3","collagen, type VI, alpha 3","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
"634","Col6a3_itgb1","Col6a3","collagen, type VI, alpha 3","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"635","Col7a1_itga2","Col7a1","collagen, type VII, alpha 1","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
"636","Col7a1_itgb1","Col7a1","collagen, type VII, alpha 1","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"637","Col8a1_itga1","Col8a1","collagen, type VIII, alpha 1","Itga1","integrin, alpha 1"
"638","Col8a1_itga2","Col8a1","collagen, type VIII, alpha 1","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
"639","Col9a1_mag","Col9a1","collagen, type IX, alpha 1","Mag","myelin associated glycoprotein"
"640","Col9a2_mag","Col9a2","collagen, type IX, alpha 2","Mag","myelin associated glycoprotein"
"641","Col9a3_mag","Col9a3","collagen, type IX, alpha 3","Mag","myelin associated glycoprotein"
"642","Colq_musk","Colq","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase","Musk","muscle, skeletal, receptor tyrosine kinase"
"643","Cort_ghsr","Cort","cortistatin","Ghsr","growth hormone secretagogue receptor"
"644","Cort_mrgprx2","Cort","cortistatin","Mrgprx2","MAS-related GPR, member X2"
"645","Cort_sstr1","Cort","cortistatin","Sstr1","somatostatin receptor 1"
"646","Cort_sstr2","Cort","cortistatin","Sstr2","somatostatin receptor 2"
"647","Cort_sstr3","Cort","cortistatin","Sstr3","somatostatin receptor 3"
"648","Cort_sstr4","Cort","cortistatin","Sstr4","somatostatin receptor 4"
"649","Cort_sstr5","Cort","cortistatin","Sstr5","somatostatin receptor 5"
"650","Cpamd8_sctr","Cpamd8","C3 and PZP-like, alpha-2-macroglobulin domain containing 8","Sctr","secretin receptor"
"651","Cp_slc40a1","Cp","ceruloplasmin (ferroxidase)","Slc40a1","solute carrier family 40 (iron-regulated transporter), member 1"
"652","Crh_crhr1","Crh","corticotropin releasing hormone","Crhr1","corticotropin releasing hormone receptor 1"
"653","Crh_crhr2","Crh","corticotropin releasing hormone","Crhr2","corticotropin releasing hormone receptor 2"
"654","Crh_mc2r","Crh","corticotropin releasing hormone","Mc2r","melanocortin 2 receptor (adrenocorticotropic hormone)"
"655","Crp_olr1","Crp","C-reactive protein, pentraxin-related","Olr1","oxidized low density lipoprotein (lectin-like) receptor 1"
"656","Csf1_csf1r","Csf1","colony stimulating factor 1 (macrophage)","Csf1r","colony stimulating factor 1 receptor"
"657","Csf2_csf1r","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Csf1r","colony stimulating factor 1 receptor"
"658","Csf2_csf2ra","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Csf2ra","colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"
"659","Csf2_csf2rb","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Csf2rb","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
"660","Csf2_csf3r","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Csf3r","colony stimulating factor 3 receptor (granulocyte)"
"661","Csf2_il3ra","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Il3ra","interleukin 3 receptor, alpha (low affinity)"
"662","Csf2_itga9","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Itga9","integrin, alpha 9"
"663","Csf2_itgb1","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"664","Csf2_sdc2","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Sdc2","syndecan 2"
"665","Csf3_csf1r","Csf3","colony stimulating factor 3 (granulocyte)","Csf1r","colony stimulating factor 1 receptor"
"666","Csf3_csf3r","Csf3","colony stimulating factor 3 (granulocyte)","Csf3r","colony stimulating factor 3 receptor (granulocyte)"
"667","Csh1_prlr","Csh1","chorionic somatomammotropin hormone 1 (placental lactogen)","Prlr","prolactin receptor"
"668","Csh2_prlr","Csh2","chorionic somatomammotropin hormone 2","Prlr","prolactin receptor"
"669","Cshl1_ghr","Cshl1","chorionic somatomammotropin hormone-like 1","Ghr","growth hormone receptor"
"670","Cshl1_prlr","Cshl1","chorionic somatomammotropin hormone-like 1","Prlr","prolactin receptor"
"671","Ctf1_il6st","Ctf1","cardiotrophin 1","Il6st","interleukin 6 signal transducer (gp130, oncostatin M receptor)"
"672","Ctf1_lifr","Ctf1","cardiotrophin 1","Lifr","leukemia inhibitory factor receptor alpha"
"673","Ctgf_erbb4","Ctgf","connective tissue growth factor","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4"
"674","Ctgf_itga5","Ctgf","connective tissue growth factor","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
"675","Ctgf_itgam","Ctgf","connective tissue growth factor","Itgam","integrin, alpha M (complement component 3 receptor 3 subunit)"
"676","Ctgf_itgb2","Ctgf","connective tissue growth factor","Itgb2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
"677","Ctgf_lrp1","Ctgf","connective tissue growth factor","Lrp1","low density lipoprotein receptor-related protein 1"
"678","Ctgf_lrp6","Ctgf","connective tissue growth factor","Lrp6","low density lipoprotein receptor-related protein 6"
"679","Ctgf_ntrk1","Ctgf","connective tissue growth factor","Ntrk1","neurotrophic tyrosine kinase, receptor, type 1"
"680","Cthrc1_fzd3","Cthrc1","collagen triple helix repeat containing 1","Fzd3","frizzled class receptor 3"
"681","Cthrc1_fzd5","Cthrc1","collagen triple helix repeat containing 1","Fzd5","frizzled class receptor 5"
"682","Cthrc1_fzd6","Cthrc1","collagen triple helix repeat containing 1","Fzd6","frizzled class receptor 6"
"683","Cubn_lrp2","Cubn","cubilin (intrinsic factor-cobalamin receptor)","Lrp2","low density lipoprotein receptor-related protein 2"
"684","Cx3cl1_cx3cr1","Cx3cl1","chemokine (C-X3-C motif) ligand 1","Cx3cr1","chemokine (C-X3-C motif) receptor 1"
"685","Cxcl10_ccr3","Cxcl10","chemokine (C-X-C motif) ligand 10","Ccr3","chemokine (C-C motif) receptor 3"
"686","Cxcl10_cxcr3","Cxcl10","chemokine (C-X-C motif) ligand 10","Cxcr3","chemokine (C-X-C motif) receptor 3"
"687","Cxcl10_sdc4","Cxcl10","chemokine (C-X-C motif) ligand 10","Sdc4","syndecan 4"
"688","Cxcl11_ackr3","Cxcl11","chemokine (C-X-C motif) ligand 11","Ackr3","atypical chemokine receptor 3"
"689","Cxcl11_ccr3","Cxcl11","chemokine (C-X-C motif) ligand 11","Ccr3","chemokine (C-C motif) receptor 3"
"690","Cxcl11_cxcr3","Cxcl11","chemokine (C-X-C motif) ligand 11","Cxcr3","chemokine (C-X-C motif) receptor 3"
"691","Cxcl12_ackr3","Cxcl12","chemokine (C-X-C motif) ligand 12","Ackr3","atypical chemokine receptor 3"
"692","Cxcl12_ccr4","Cxcl12","chemokine (C-X-C motif) ligand 12","Ccr4","chemokine (C-C motif) receptor 4"
"693","Cxcl12_cd4","Cxcl12","chemokine (C-X-C motif) ligand 12","Cd4","CD4 molecule"
"694","Cxcl12_cxcr3","Cxcl12","chemokine (C-X-C motif) ligand 12","Cxcr3","chemokine (C-X-C motif) receptor 3"
"695","Cxcl12_cxcr4","Cxcl12","chemokine (C-X-C motif) ligand 12","Cxcr4","chemokine (C-X-C motif) receptor 4"
"696","Cxcl12_itgb1","Cxcl12","chemokine (C-X-C motif) ligand 12","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"697","Cxcl12_sdc4","Cxcl12","chemokine (C-X-C motif) ligand 12","Sdc4","syndecan 4"
"698","Cxcl13_ackr4","Cxcl13","chemokine (C-X-C motif) ligand 13","Ackr4","atypical chemokine receptor 4"
"699","Cxcl13_ccr10","Cxcl13","chemokine (C-X-C motif) ligand 13","Ccr10","chemokine (C-C motif) receptor 10"
"700","Cxcl13_cxcr3","Cxcl13","chemokine (C-X-C motif) ligand 13","Cxcr3","chemokine (C-X-C motif) receptor 3"
"701","Cxcl13_cxcr5","Cxcl13","chemokine (C-X-C motif) ligand 13","Cxcr5","chemokine (C-X-C motif) receptor 5"
"702","Cxcl13_htr2a","Cxcl13","chemokine (C-X-C motif) ligand 13","Htr2a","5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled"
"703","Cxcl13_oprd1","Cxcl13","chemokine (C-X-C motif) ligand 13","Oprd1","opioid receptor, delta 1"
"704","Cxcl16_cxcr6","Cxcl16","chemokine (C-X-C motif) ligand 16","Cxcr6","chemokine (C-X-C motif) receptor 6"
"705","Cxcl1_cxcr1","Cxcl1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","Cxcr1","chemokine (C-X-C motif) receptor 1"
"706","Cxcl1_cxcr2","Cxcl1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","Cxcr2","chemokine (C-X-C motif) receptor 2"
"707","Cxcl1_darc","Cxcl1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","Darc","Duffy blood group, atypical chemokine receptor"
"708","Cxcl2_cxcr1","Cxcl2","chemokine (C-X-C motif) ligand 2","Cxcr1","chemokine (C-X-C motif) receptor 1"
"709","Cxcl2_cxcr2","Cxcl2","chemokine (C-X-C motif) ligand 2","Cxcr2","chemokine (C-X-C motif) receptor 2"
"710","Cxcl2_xcr1","Cxcl2","chemokine (C-X-C motif) ligand 2","Xcr1","chemokine (C motif) receptor 1"
"711","Cxcl3_cxcr1","Cxcl3","chemokine (C-X-C motif) ligand 3","Cxcr1","chemokine (C-X-C motif) receptor 1"
"712","Cxcl3_cxcr2","Cxcl3","chemokine (C-X-C motif) ligand 3","Cxcr2","chemokine (C-X-C motif) receptor 2"
"713","Cxcl5_cxcr1","Cxcl5","chemokine (C-X-C motif) ligand 5","Cxcr1","chemokine (C-X-C motif) receptor 1"
"714","Cxcl5_cxcr2","Cxcl5","chemokine (C-X-C motif) ligand 5","Cxcr2","chemokine (C-X-C motif) receptor 2"
"715","Cxcl5_darc","Cxcl5","chemokine (C-X-C motif) ligand 5","Darc","Duffy blood group, atypical chemokine receptor"
"716","Cxcl6_cxcr1","Cxcl6","chemokine (C-X-C motif) ligand 6","Cxcr1","chemokine (C-X-C motif) receptor 1"
"717","Cxcl6_cxcr2","Cxcl6","chemokine (C-X-C motif) ligand 6","Cxcr2","chemokine (C-X-C motif) receptor 2"
"718","Cxcl9_ccr3","Cxcl9","chemokine (C-X-C motif) ligand 9","Ccr3","chemokine (C-C motif) receptor 3"
"719","Cxcl9_cxcr3","Cxcl9","chemokine (C-X-C motif) ligand 9","Cxcr3","chemokine (C-X-C motif) receptor 3"
"720","Cyr61_cav1","Cyr61","cysteine-rich, angiogenic inducer, 61","Cav1","caveolin 1, caveolae protein, 22kDa"
"721","Cyr61_itga5","Cyr61","cysteine-rich, angiogenic inducer, 61","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
"722","Cyr61_itgam","Cyr61","cysteine-rich, angiogenic inducer, 61","Itgam","integrin, alpha M (complement component 3 receptor 3 subunit)"
"723","Cyr61_itgav","Cyr61","cysteine-rich, angiogenic inducer, 61","Itgav","integrin, alpha V"
"724","Cyr61_itgb2","Cyr61","cysteine-rich, angiogenic inducer, 61","Itgb2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
"725","Cyr61_itgb3","Cyr61","cysteine-rich, angiogenic inducer, 61","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
"726","Cyr61_itgb5","Cyr61","cysteine-rich, angiogenic inducer, 61","Itgb5","integrin, beta 5"
"727","Dcn_egfr","Dcn","decorin","Egfr","epidermal growth factor receptor"
"728","Dcn_erbb4","Dcn","decorin","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4"
"729","Dcn_met","Dcn","decorin","Met","met proto-oncogene"
"730","Defb103a_ccr6","Defb103a","defensin, beta 103A","Ccr6","chemokine (C-C motif) receptor 6"
"731","Defb103b_ccr2","Defb103b","defensin, beta 103B","Ccr2","chemokine (C-C motif) receptor 2"
"732","Defb103b_ccr6","Defb103b","defensin, beta 103B","Ccr6","chemokine (C-C motif) receptor 6"
"733","Defb1_ccr6","Defb1","defensin, beta 1","Ccr6","chemokine (C-C motif) receptor 6"
"734","Defb4a_ccr6","Defb4a","defensin, beta 4A","Ccr6","chemokine (C-C motif) receptor 6"
"735","Defb4a_tlr4","Defb4a","defensin, beta 4A","Tlr4","toll-like receptor 4"
"736","Defb4b_ccr6","Defb4b","defensin, beta 4B","Ccr6","chemokine (C-C motif) receptor 6"
"737","Dhh_boc","Dhh","desert hedgehog","Boc","BOC cell adhesion associated, oncogene regulated"
"738","Dhh_cdon","Dhh","desert hedgehog","Cdon","cell adhesion associated, oncogene regulated"
"739","Dhh_hhip","Dhh","desert hedgehog","Hhip","hedgehog interacting protein"
"740","Dhh_ptch1","Dhh","desert hedgehog","Ptch1","patched 1"
"741","Dhh_ptch2","Dhh","desert hedgehog","Ptch2","patched 2"
"742","Dkk1_kremen1","Dkk1","dickkopf WNT signaling pathway inhibitor 1","Kremen1","kringle containing transmembrane protein 1"
"743","Dkk1_kremen2","Dkk1","dickkopf WNT signaling pathway inhibitor 1","Kremen2","kringle containing transmembrane protein 2"
"744","Dkk1_lrp5","Dkk1","dickkopf WNT signaling pathway inhibitor 1","Lrp5","low density lipoprotein receptor-related protein 5"
"745","Dkk1_lrp6","Dkk1","dickkopf WNT signaling pathway inhibitor 1","Lrp6","low density lipoprotein receptor-related protein 6"
"746","Dkk2_kremen2","Dkk2","dickkopf WNT signaling pathway inhibitor 2","Kremen2","kringle containing transmembrane protein 2"
"747","Dkk2_lrp6","Dkk2","dickkopf WNT signaling pathway inhibitor 2","Lrp6","low density lipoprotein receptor-related protein 6"
"748","Dlk1_notch1","Dlk1","delta-like 1 homolog (Drosophila)","Notch1","notch 1"
"749","Dlk1_notch2","Dlk1","delta-like 1 homolog (Drosophila)","Notch2","notch 2"
"750","Dlk1_notch3","Dlk1","delta-like 1 homolog (Drosophila)","Notch3","notch 3"
"751","Dlk1_notch4","Dlk1","delta-like 1 homolog (Drosophila)","Notch4","notch 4"
"752","Dlk2_notch1","Dlk2","delta-like 2 homolog (Drosophila)","Notch1","notch 1"
"753","Dll1_notch1","Dll1","delta-like 1 (Drosophila)","Notch1","notch 1"
"754","Dll1_notch2","Dll1","delta-like 1 (Drosophila)","Notch2","notch 2"
"755","Dll1_notch3","Dll1","delta-like 1 (Drosophila)","Notch3","notch 3"
"756","Dll1_notch4","Dll1","delta-like 1 (Drosophila)","Notch4","notch 4"
"757","Dll3_notch1","Dll3","delta-like 3 (Drosophila)","Notch1","notch 1"
"758","Dll3_notch2","Dll3","delta-like 3 (Drosophila)","Notch2","notch 2"
"759","Dll3_notch3","Dll3","delta-like 3 (Drosophila)","Notch3","notch 3"
"760","Dll3_notch4","Dll3","delta-like 3 (Drosophila)","Notch4","notch 4"
"761","Dll4_notch1","Dll4","delta-like 4 (Drosophila)","Notch1","notch 1"
"762","Dll4_notch2","Dll4","delta-like 4 (Drosophila)","Notch2","notch 2"
"763","Dll4_notch3","Dll4","delta-like 4 (Drosophila)","Notch3","notch 3"
"764","Dll4_notch4","Dll4","delta-like 4 (Drosophila)","Notch4","notch 4"
"765","Dscam_dcc","Dscam","Down syndrome cell adhesion molecule","Dcc","deleted in colorectal carcinoma"
"766","Dusp18_cd151","Dusp18","dual specificity phosphatase 18","Cd151","CD151 molecule (Raph blood group)"
"767","Dusp18_itga1","Dusp18","dual specificity phosphatase 18","Itga1","integrin, alpha 1"
"768","Dusp18_itga2","Dusp18","dual specificity phosphatase 18","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
"769","Dusp18_itga3","Dusp18","dual specificity phosphatase 18","Itga3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
"770","Dusp18_itga6","Dusp18","dual specificity phosphatase 18","Itga6","integrin, alpha 6"
"771","Dusp18_itga7","Dusp18","dual specificity phosphatase 18","Itga7","integrin, alpha 7"
"772","Dusp18_itgb1","Dusp18","dual specificity phosphatase 18","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"773","Dusp18_itgb4","Dusp18","dual specificity phosphatase 18","Itgb4","integrin, beta 4"
"774","Dusp18_rpsa","Dusp18","dual specificity phosphatase 18","Rpsa","ribosomal protein SA"
"775","Ebi3_il27ra","Ebi3","Epstein-Barr virus induced 3","Il27ra","interleukin 27 receptor, alpha"
"776","Ebi3_il6st","Ebi3","Epstein-Barr virus induced 3","Il6st","interleukin 6 signal transducer (gp130, oncostatin M receptor)"
"777","Ecm1_cachd1","Ecm1","extracellular matrix protein 1","Cachd1","cache domain containing 1"
"778","Eda_eda2r","Eda","ectodysplasin A","Eda2r","ectodysplasin A2 receptor"
"779","Eda_edar","Eda","ectodysplasin A","Edar","ectodysplasin A receptor"
"780","Edil3_itgav","Edil3","EGF-like repeats and discoidin I-like domains 3","Itgav","integrin, alpha V"
"781","Edil3_itgb5","Edil3","EGF-like repeats and discoidin I-like domains 3","Itgb5","integrin, beta 5"
"782","Edn1_ednra","Edn1","endothelin 1","Ednra","endothelin receptor type A"
"783","Edn1_ednrb","Edn1","endothelin 1","Ednrb","endothelin receptor type B"
"784","Edn1_eltd1","Edn1","endothelin 1","Eltd1","EGF, latrophilin and seven transmembrane domain containing 1"
"785","Edn1_kel","Edn1","endothelin 1","Kel","Kell blood group, metallo-endopeptidase"
"786","Edn2_ednra","Edn2","endothelin 2","Ednra","endothelin receptor type A"
"787","Edn2_ednrb","Edn2","endothelin 2","Ednrb","endothelin receptor type B"
"788","Edn2_kel","Edn2","endothelin 2","Kel","Kell blood group, metallo-endopeptidase"
"789","Edn3_ednra","Edn3","endothelin 3","Ednra","endothelin receptor type A"
"790","Edn3_ednrb","Edn3","endothelin 3","Ednrb","endothelin receptor type B"
"791","Edn3_kel","Edn3","endothelin 3","Kel","Kell blood group, metallo-endopeptidase"
"792","Efemp1_egfr","Efemp1","EGF containing fibulin-like extracellular matrix protein 1","Egfr","epidermal growth factor receptor"
"793","Efemp2_aqp1","Efemp2","EGF containing fibulin-like extracellular matrix protein 2","Aqp1","aquaporin 1 (Colton blood group)"
"794","Efemp2_catsper1","Efemp2","EGF containing fibulin-like extracellular matrix protein 2","Catsper1","cation channel, sperm associated 1"
"795","Efemp2_lingo1","Efemp2","EGF containing fibulin-like extracellular matrix protein 2","Lingo1","leucine rich repeat and Ig domain containing 1"
"796","Efemp2_plscr4","Efemp2","EGF containing fibulin-like extracellular matrix protein 2","Plscr4","phospholipid scramblase 4"
"797","Efna1_epha1","Efna1","ephrin-A1","Epha1","EPH receptor A1"
"798","Efna1_epha2","Efna1","ephrin-A1","Epha2","EPH receptor A2"
"799","Efna1_epha3","Efna1","ephrin-A1","Epha3","EPH receptor A3"
"800","Efna1_epha4","Efna1","ephrin-A1","Epha4","EPH receptor A4"
"801","Efna1_epha5","Efna1","ephrin-A1","Epha5","EPH receptor A5"
"802","Efna1_epha6","Efna1","ephrin-A1","Epha6","EPH receptor A6"
"803","Efna1_epha7","Efna1","ephrin-A1","Epha7","EPH receptor A7"
"804","Efna1_epha8","Efna1","ephrin-A1","Epha8","EPH receptor A8"
"805","Efna1_ephb1","Efna1","ephrin-A1","Ephb1","EPH receptor B1"
"806","Efna1_ephb6","Efna1","ephrin-A1","Ephb6","EPH receptor B6"
"807","Efna2_epha1","Efna2","ephrin-A2","Epha1","EPH receptor A1"
"808","Efna2_epha2","Efna2","ephrin-A2","Epha2","EPH receptor A2"
"809","Efna2_epha3","Efna2","ephrin-A2","Epha3","EPH receptor A3"
"810","Efna2_epha4","Efna2","ephrin-A2","Epha4","EPH receptor A4"
"811","Efna2_epha5","Efna2","ephrin-A2","Epha5","EPH receptor A5"
"812","Efna2_epha6","Efna2","ephrin-A2","Epha6","EPH receptor A6"
"813","Efna2_epha7","Efna2","ephrin-A2","Epha7","EPH receptor A7"
"814","Efna2_epha8","Efna2","ephrin-A2","Epha8","EPH receptor A8"
"815","Efna3_epha1","Efna3","ephrin-A3","Epha1","EPH receptor A1"
"816","Efna3_epha2","Efna3","ephrin-A3","Epha2","EPH receptor A2"
"817","Efna3_epha3","Efna3","ephrin-A3","Epha3","EPH receptor A3"
"818","Efna3_epha4","Efna3","ephrin-A3","Epha4","EPH receptor A4"
"819","Efna3_epha5","Efna3","ephrin-A3","Epha5","EPH receptor A5"
"820","Efna3_epha6","Efna3","ephrin-A3","Epha6","EPH receptor A6"
"821","Efna3_epha7","Efna3","ephrin-A3","Epha7","EPH receptor A7"
"822","Efna3_epha8","Efna3","ephrin-A3","Epha8","EPH receptor A8"
"823","Efna3_ephb1","Efna3","ephrin-A3","Ephb1","EPH receptor B1"
"824","Efna3_ephb6","Efna3","ephrin-A3","Ephb6","EPH receptor B6"
"825","Efna4_epha1","Efna4","ephrin-A4","Epha1","EPH receptor A1"
"826","Efna4_epha2","Efna4","ephrin-A4","Epha2","EPH receptor A2"
"827","Efna4_epha3","Efna4","ephrin-A4","Epha3","EPH receptor A3"
"828","Efna4_epha4","Efna4","ephrin-A4","Epha4","EPH receptor A4"
"829","Efna4_epha5","Efna4","ephrin-A4","Epha5","EPH receptor A5"
"830","Efna4_epha6","Efna4","ephrin-A4","Epha6","EPH receptor A6"
"831","Efna4_epha7","Efna4","ephrin-A4","Epha7","EPH receptor A7"
"832","Efna4_epha8","Efna4","ephrin-A4","Epha8","EPH receptor A8"
"833","Efna5_epha1","Efna5","ephrin-A5","Epha1","EPH receptor A1"
"834","Efna5_epha2","Efna5","ephrin-A5","Epha2","EPH receptor A2"
"835","Efna5_epha3","Efna5","ephrin-A5","Epha3","EPH receptor A3"
"836","Efna5_epha4","Efna5","ephrin-A5","Epha4","EPH receptor A4"
"837","Efna5_epha5","Efna5","ephrin-A5","Epha5","EPH receptor A5"
"838","Efna5_epha6","Efna5","ephrin-A5","Epha6","EPH receptor A6"
"839","Efna5_epha7","Efna5","ephrin-A5","Epha7","EPH receptor A7"
"840","Efna5_epha8","Efna5","ephrin-A5","Epha8","EPH receptor A8"
"841","Efna5_ephb1","Efna5","ephrin-A5","Ephb1","EPH receptor B1"
"842","Efna5_ephb2","Efna5","ephrin-A5","Ephb2","EPH receptor B2"
"843","Efna5_ephb6","Efna5","ephrin-A5","Ephb6","EPH receptor B6"
"844","Efnb1_epha4","Efnb1","ephrin-B1","Epha4","EPH receptor A4"
"845","Efnb1_epha6","Efnb1","ephrin-B1","Epha6","EPH receptor A6"
"846","Efnb1_ephb1","Efnb1","ephrin-B1","Ephb1","EPH receptor B1"
"847","Efnb1_ephb2","Efnb1","ephrin-B1","Ephb2","EPH receptor B2"
"848","Efnb1_ephb3","Efnb1","ephrin-B1","Ephb3","EPH receptor B3"
"849","Efnb1_ephb4","Efnb1","ephrin-B1","Ephb4","EPH receptor B4"
"850","Efnb1_ephb6","Efnb1","ephrin-B1","Ephb6","EPH receptor B6"
"851","Efnb1_erbb2","Efnb1","ephrin-B1","Erbb2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2"
"852","Efnb2_epha3","Efnb2","ephrin-B2","Epha3","EPH receptor A3"
"853","Efnb2_epha4","Efnb2","ephrin-B2","Epha4","EPH receptor A4"
"854","Efnb2_epha6","Efnb2","ephrin-B2","Epha6","EPH receptor A6"
"855","Efnb2_ephb1","Efnb2","ephrin-B2","Ephb1","EPH receptor B1"
"856","Efnb2_ephb2","Efnb2","ephrin-B2","Ephb2","EPH receptor B2"
"857","Efnb2_ephb3","Efnb2","ephrin-B2","Ephb3","EPH receptor B3"
"858","Efnb2_ephb4","Efnb2","ephrin-B2","Ephb4","EPH receptor B4"
"859","Efnb2_ephb6","Efnb2","ephrin-B2","Ephb6","EPH receptor B6"
"860","Efnb2_grm1","Efnb2","ephrin-B2","Grm1","glutamate receptor, metabotropic 1"
"861","Efnb2_grm5","Efnb2","ephrin-B2","Grm5","glutamate receptor, metabotropic 5"
"862","Efnb2_pecam1","Efnb2","ephrin-B2","Pecam1","platelet/endothelial cell adhesion molecule 1"
"863","Efnb2_rhbdl2","Efnb2","ephrin-B2","Rhbdl2","rhomboid, veinlet-like 2 (Drosophila)"
"864","Efnb3_epha4","Efnb3","ephrin-B3","Epha4","EPH receptor A4"
"865","Efnb3_ephb1","Efnb3","ephrin-B3","Ephb1","EPH receptor B1"
"866","Efnb3_ephb2","Efnb3","ephrin-B3","Ephb2","EPH receptor B2"
"867","Efnb3_ephb3","Efnb3","ephrin-B3","Ephb3","EPH receptor B3"
"868","Efnb3_ephb4","Efnb3","ephrin-B3","Ephb4","EPH receptor B4"
"869","Efnb3_ephb6","Efnb3","ephrin-B3","Ephb6","EPH receptor B6"
"870","Efnb3_rhbdl2","Efnb3","ephrin-B3","Rhbdl2","rhomboid, veinlet-like 2 (Drosophila)"
"871","Egfl8_ncr3","Egfl8","EGF-like-domain, multiple 8","Ncr3","natural cytotoxicity triggering receptor 3"
"872","Egf_cav1","Egf","epidermal growth factor","Cav1","caveolin 1, caveolae protein, 22kDa"
"873","Egf_egfr","Egf","epidermal growth factor","Egfr","epidermal growth factor receptor"
"874","Egf_erbb2","Egf","epidermal growth factor","Erbb2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2"
"875","Egf_erbb3","Egf","epidermal growth factor","Erbb3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3"
"876","Egf_erbb4","Egf","epidermal growth factor","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4"
"877","Egf_fshr","Egf","epidermal growth factor","Fshr","follicle stimulating hormone receptor"
"878","Epgn_egfr","Epgn","epithelial mitogen","Egfr","epidermal growth factor receptor"
"879","Epo_epor","Epo","erythropoietin","Epor","erythropoietin receptor"
"880","Ereg_egfr","Ereg","epiregulin","Egfr","epidermal growth factor receptor"
"881","Ereg_erbb2","Ereg","epiregulin","Erbb2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2"
"882","Ereg_erbb3","Ereg","epiregulin","Erbb3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3"
"883","Ereg_erbb4","Ereg","epiregulin","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4"
"884","F10_f3","F10","coagulation factor X","F3","coagulation factor III (thromboplastin, tissue factor)"
"885","F10_itgam","F10","coagulation factor X","Itgam","integrin, alpha M (complement component 3 receptor 3 subunit)"
